Line No.  LEXEME    (TOKEN-TYPE) 	ATTRIBUTE 

27        quavered  	42  (ID)      	5243240  ( id )
27        [         	120 (OPN_BRAC) 	0        ( [ )
28        paragraphs 	42  (ID)      	5244312  ( id )
28        and       	32  (AND)     	4        ( mulop )
28        gunner    	42  (ID)      	5245384  ( id )
28        =         	30  (EQ)      	0        ( relop )
28        Armagnac  	42  (ID)      	5246456  ( id )
28        ]         	130 (CLS_BRAC) 	0        ( ] )
28        ]         	130 (CLS_BRAC) 	0        ( ] )
28        /         	32  (DIVIDE)  	1        ( mulop )
28        stardom   	42  (ID)      	5247896  ( id )
28        div       	32  (DIV)     	2        ( mulop )
28        (         	140 (OPN_PAR) 	0        ( ( )
28        7667.58   	45  (REAL)    	2        ( num )
28        <>        	30  (NEQ)     	1        ( relop )
28        (         	140 (OPN_PAR) 	0        ( ( )
29        revere    	42  (ID)      	5249704  ( id )
29        /         	32  (DIVIDE)  	1        ( mulop )
29        (         	140 (OPN_PAR) 	0        ( ( )
29        tributes  	42  (ID)      	5250960  ( id )
29        )         	145 (CLS_PAR) 	0        ( ) )
29        /         	32  (DIVIDE)  	1        ( mulop )
29        not       	13  (NOT)     	0        ( not )
29        henpeck   	42  (ID)      	5252400  ( id )
29        [         	120 (OPN_BRAC) 	0        ( [ )
29        lyrics    	42  (ID)      	5253472  ( id )
29        ]         	130 (CLS_BRAC) 	0        ( ] )
29        )         	145 (CLS_PAR) 	0        ( ) )
29        )         	145 (CLS_PAR) 	0        ( ) )
29        div       	32  (DIV)     	2        ( mulop )
29        lamented  	42  (ID)      	5255096  ( id )
29        div       	32  (DIV)     	2        ( mulop )
30        kissers   	42  (ID)      	5256168  ( id )
30        *         	32  (TIMES)   	0        ( mulop )
30        (         	140 (OPN_PAR) 	0        ( ( )
30        (         	140 (OPN_PAR) 	0        ( ( )
30        fault     	42  (ID)      	5257608  ( id )
30        /         	32  (DIVIDE)  	1        ( mulop )
30        5.552e1   	45  (REAL)    	1        ( num )
30        <>        	30  (NEQ)     	1        ( relop )
30        terror    	42  (ID)      	5259048  ( id )
30        -         	31  (MINUS)   	1        ( addop )
30        vines     	42  (ID)      	5260120  ( id )
30        -         	31  (MINUS)   	1        ( addop )
30        pulse     	42  (ID)      	5261192  ( id )
30        -         	31  (MINUS)   	1        ( addop )
30        rasp      	42  (ID)      	5262264  ( id )
30        mod       	32  (MOD)     	3        ( mulop )
31        regally   	42  (ID)      	5263336  ( id )
31        [         	120 (OPN_BRAC) 	0        ( [ )
31        Rumania   	42  (ID)      	5264408  ( id )
31        ]         	130 (CLS_BRAC) 	0        ( ] )
31        )         	145 (CLS_PAR) 	0        ( ) )
31        or        	31  (OR)      	2        ( addop )
31        (         	140 (OPN_PAR) 	0        ( ( )
31        uncertain 	42  (ID)      	5266032  ( id )
31        mod       	32  (MOD)     	3        ( mulop )
31        renounce  	42  (ID)      	5267104  ( id )
31        /         	32  (DIVIDE)  	1        ( mulop )
31        (         	140 (OPN_PAR) 	0        ( ( )
31        Nordhoff  	42  (ID)      	5268360  ( id )
31        )         	145 (CLS_PAR) 	0        ( ) )
31        and       	32  (AND)     	4        ( mulop )
31        (         	140 (OPN_PAR) 	0        ( ( )
32        adapted   	42  (ID)      	5269800  ( id )
32        >         	30  (GTHEN)   	5        ( relop )
32        louder    	42  (ID)      	5270872  ( id )
32        )         	145 (CLS_PAR) 	0        ( ) )
32        )         	145 (CLS_PAR) 	0        ( ) )
32        +         	999 (PLUS)    	0        ( + )
32        disposer  	42  (ID)      	5272312  ( id )
32        [         	120 (OPN_BRAC) 	0        ( [ )
32        Klux      	42  (ID)      	5273384  ( id )
32        and       	32  (AND)     	4        ( mulop )
32        not       	13  (NOT)     	0        ( not )
32        blanched  	42  (ID)      	5274640  ( id )
32        -         	31  (MINUS)   	1        ( addop )
32        gins      	42  (ID)      	5275712  ( id )
32        [         	120 (OPN_BRAC) 	0        ( [ )
33        hoodwink  	42  (ID)      	5276784  ( id )
33        ]         	130 (CLS_BRAC) 	0        ( ] )
33        +         	999 (PLUS)    	0        ( + )
33        (         	140 (OPN_PAR) 	0        ( ( )
33        retract   	42  (ID)      	5278224  ( id )
33        or        	31  (OR)      	2        ( addop )
33        autopilot 	42  (ID)      	5279296  ( id )
33        <>        	30  (NEQ)     	1        ( relop )
33        entices   	42  (ID)      	5280368  ( id )
33        )         	145 (CLS_PAR) 	0        ( ) )
33        =         	30  (EQ)      	0        ( relop )
33        0         	45  (INT)     	0        ( num )
33        and       	32  (AND)     	4        ( mulop )
33        (         	140 (OPN_PAR) 	0        ( ( )
33        grotesque 	42  (ID)      	5282176  ( id )
34        <=        	30  (LEQTHEN) 	3        ( relop )
34        Hecate    	42  (ID)      	5283248  ( id )
34        )         	145 (CLS_PAR) 	0        ( ) )
34        +         	999 (PLUS)    	0        ( + )
34        adoptive  	42  (ID)      	5284504  ( id )
34        ]         	130 (CLS_BRAC) 	0        ( ] )
34        +         	999 (PLUS)    	0        ( + )
34        (         	140 (OPN_PAR) 	0        ( ( )
34        56.24     	45  (REAL)    	2        ( num )
34        )         	145 (CLS_PAR) 	0        ( ) )
34        -         	31  (MINUS)   	1        ( addop )
34        (         	140 (OPN_PAR) 	0        ( ( )
34        axes      	42  (ID)      	5286680  ( id )
34        /         	32  (DIVIDE)  	1        ( mulop )
34        biochemist 	42  (ID)      	5287752  ( id )
34        *         	32  (TIMES)   	0        ( mulop )
34        not       	13  (NOT)     	0        ( not )
35        reconciles 	42  (ID)      	5289008  ( id )
35        and       	32  (AND)     	4        ( mulop )
35        excluding 	42  (ID)      	5290080  ( id )
35        mod       	32  (MOD)     	3        ( mulop )
35        838       	45  (INT)     	0        ( num )
35        +         	999 (PLUS)    	0        ( + )
35        not       	13  (NOT)     	0        ( not )
35        furtively 	42  (ID)      	5291704  ( id )
35        [         	120 (OPN_BRAC) 	0        ( [ )
35        vexed     	42  (ID)      	5292776  ( id )
35        or        	31  (OR)      	2        ( addop )
35        drawers   	42  (ID)      	5293848  ( id )
35        <>        	30  (NEQ)     	1        ( relop )
36        exquisite 	42  (ID)      	5294920  ( id )
36        ]         	130 (CLS_BRAC) 	0        ( ] )
36        )         	145 (CLS_PAR) 	0        ( ) )
36        and       	32  (AND)     	4        ( mulop )
36        not       	13  (NOT)     	0        ( not )
36        not       	13  (NOT)     	0        ( not )
36        not       	13  (NOT)     	0        ( not )
36        Ricanism  	42  (ID)      	5296912  ( id )
36        )         	145 (CLS_PAR) 	0        ( ) )
36        /         	32  (DIVIDE)  	1        ( mulop )
36        5.3       	45  (REAL)    	2        ( num )
36        )         	145 (CLS_PAR) 	0        ( ) )
36        do        	12  (DO)      	0        ( do )
36        call      	4   (CALL)    	0        ( call )
36        kernel    	42  (ID)      	5298904  ( id )
36        ;         	110 (SEMI)    	0        ( ; )
37        packages  	42  (ID)      	5299976  ( id )
37        :=        	33  (ASN_TO)  	0        ( assignop )
37        966.457   	45  (REAL)    	2        ( num )
37        or        	31  (OR)      	2        ( addop )
37        not       	13  (NOT)     	0        ( not )
37        sorer     	42  (ID)      	5301600  ( id )
37        [         	120 (OPN_BRAC) 	0        ( [ )
37        (         	140 (OPN_PAR) 	0        ( ( )
37        (         	140 (OPN_PAR) 	0        ( ( )
37        forgot    	42  (ID)      	5303040  ( id )
37        -         	31  (MINUS)   	1        ( addop )
37        averaged  	42  (ID)      	5304112  ( id )
37        or        	31  (OR)      	2        ( addop )
37        centralize 	42  (ID)      	5305184  ( id )
38        [         	120 (OPN_BRAC) 	0        ( [ )
38        sunbeam   	42  (ID)      	5306256  ( id )
